conversation_utterance_id,conversation_id,utterance_id,utterance,rank,score,passage,passage_id
31_4,31,4,What are lung cancer's symptoms?,9.0,0.9880911111831664,"Symptoms of lung cancer may include: 1  Coughing symptoms, such as: 2  A new cough or a cough that doesn't go away. 3  In smokers who have a chronic cough, a change in how severe their cough is or how much they cough.4  Coughing up blood or bloody mucus. 5  Chest symptoms, such as: 6  Chest, shoulder, or back pain that doesn't go away and often gets worse with ...ymptoms of lung cancer may include: 1  Coughing symptoms, such as: 2  A new cough or a cough that doesn't go away. 3  In smokers who have a chronic cough, a change in how severe their cough is or how much they cough.",MARCO_6661767
31_5,31,5,Can lung cancer spread to the throat?,1.0,0.9576597213745116,"Most of the time, the spread of lung cancer to the lymph nodes doesnât cause any symptoms. When these cancers extend to lymph nodes beyond the lungs, you may notice a lump in your neck or your armpit, similar (but usually firmer) to the swollen glands you may have had in the past with a sore throat.",MARCO_7150693
31_5,31,5,Can lung cancer spread to the throat?,2.0,0.9571595788002014,"In fact, some people diagnosed with throat cancer are diagnosed with esophageal, lung, or bladder cancer at the same time. This is typically because cancers often have the same risk factors, or because cancer that begins in one part of the body can spread throughout the body in time.",MARCO_6914822
31_5,31,5,Can lung cancer spread to the throat?,3.0,0.9426092505455016,For example: 1  Breast cancer may spread to the lymph glands in the armpit. 2  Throat cancer may spread to lymph glands in the neck. 3  Lung and stomach cancers may spread to lymph glands that you usually cannot see or feel in the chest and abdomen. 4  Skin cancers may spread first to the closest lymph glands to the area of skin involved.,MARCO_8431267
31_5,31,5,Can lung cancer spread to the throat?,4.0,0.9389449954032898,"Eating fruits (including berries) and vegetables probably decreases the risk of lung cancer and could prevent cancers of the mouth, throat, larynx, esophagus, stomach, pancreas, and prostate, according to a review of hundreds of clinical studies conducted for the World Cancer Research Fund and the American Institute for Cancer Research.",MARCO_656169
31_5,31,5,Can lung cancer spread to the throat?,5.0,0.930121123790741,"Cancers that spread to the lungs: Cancers that start in other organs (such as the breast, pancreas, kidney, or skin) can sometimes spread (metastasize) to the lungs, but these are not lung cancers. For example, cancer that starts in the breast and spreads to the lungs is still breast cancer, not lung cancer.",MARCO_28055
31_5,31,5,Can lung cancer spread to the throat?,6.0,0.928502321243286,"Side effects of radiation therapy. Patients with lung cancer who receive radiation therapy often experience fatigue and loss of appetite. If radiation therapy is given to the neck or center of the chest, patients may also develop a sore throat and have difficulty swallowing.hemotherapy is often not as effective as radiation therapy or surgery to treat NSCLC that has spread to the brain. For this reason, NSCLC that has spread to the brain is treated with radiation therapy, surgery, or both. Most patients with brain metastases from NSCLC receive radiation therapy to the entire brain.",MARCO_2470804
31_5,31,5,Can lung cancer spread to the throat?,7.0,0.905446231365204,"Cancers of other tissues, such as breast cancer, may spread to the lungs. When this is the case, the cancer is named based on the tissue in which it began. For example, breast cancer which has spread to the lung would be called breast cancer metastatic to the lungs instead of lung cancer.",MARCO_1227216
31_5,31,5,Can lung cancer spread to the throat?,8.0,0.9012880921363832,"Without running to conclusion, throat and lung cancer can be the cause for the tickle in throat and the persistent coughing. You need to have a professional heath care provider diagnose the condition to be sure the cause is cancer before treatment can commence.",MARCO_2786992
31_5,31,5,Can lung cancer spread to the throat?,9.0,0.8943207859992981,1 Symptoms of throat cancer. 2  Throat cancer can spread. 3  Risk factors of throat cancer.  Diagnosis of throat 1  cancer. Treatment for throat cancer.  Side effects of cancer 1  treatment. Palliative 2  care. Where to get  help. Things to remember.,MARCO_8610846
31_6,31,6,What causes throat cancer?,1.0,0.9926540851593018,"Causes of throat cancer. The exact cause of throat cancer is not clear. However, certain risk factors lead to an increased risk of throat cancer, such as cigarette smoking, human papillomavirus (HPV) infection, and exposure to toxic substances like asbestos or large quantities of alcohol.",MARCO_2231504
31_6,31,6,What causes throat cancer?,2.0,0.988911509513855,Throat cancer occurs when cells in your throat develop genetic mutations. These mutations cause cells to grow uncontrollably and continue living after healthy cells would normally die. The accumulating cells can form a tumor in your throat. It's not clear what causes the mutation that causes throat cancer. But doctors have identified factors that may increase your risk.,MARCO_1905581
31_6,31,6,What causes throat cancer?,3.0,0.9886512756347656,Throat cancer occurs when cells in your throat develop genetic mutations. These mutations cause cells to grow uncontrollably and continue living after healthy cells would normally die. The accumulating cells can form a tumor in your throat. It's not clear what causes the mutation that causes throat cancer.,MARCO_3705887
31_6,31,6,What causes throat cancer?,4.0,0.987902820110321,"Throat anatomy. Throat cancer occurs when cells in your throat develop genetic mutations. These mutations cause cells to grow uncontrollably and continue living after healthy cells would normally die. The accumulating cells can form a tumor in your throat.It's not clear what causes the mutation that causes throat cancer. Hypopharyngeal cancer (laryngopharyngeal cancer) begins in the hypopharynx (laryngopharynx) â the lower part of your throat, just above your esophagus and windpipe.",MARCO_2925873
31_6,31,6,What causes throat cancer?,5.0,0.9842885732650756,Michael Douglas: oral sex caused my throat cancer. Michael Douglas has said that his throat cancer was caused by oral sex. The Oscar-winning star went into detail about the cause of his illness for the first time in an interview with the Guardian.,MARCO_1692589
31_6,31,6,What causes throat cancer?,6.0,0.984228491783142,"One of the top causes of throat cancer is smoking. Smoking, and chewing tobacco products is the number one culprit. Drinking too much alcohol can also play it's part. A diet lacking in fruits and vegetables, and human papilloma virus also have tendencies to promote the development of cancer in your throat.",MARCO_7017764
31_6,31,6,What causes throat cancer?,7.0,0.9835204482078552,Mouth and Throat Cancer Causes. Today the understanding of the cause of cancers- especially those of the oropharynx- has changed dramatically. Historically most cancer of the head and neck was attributed to tobacco and alcohol use. Today we know that this explanation is both incomplete and often inaccurate.,MARCO_5990563
31_6,31,6,What causes throat cancer?,8.0,0.9766010046005248,"Throat cancer Throat cancer can cause symptoms including difficulty swallowing, hoarseness, and chronic cough. Lymphoma Lymphoma is a cancer of the lymphatic system and can cause lymph node swelling, weight loss, fatigue, and more.",MARCO_745277
31_6,31,6,What causes throat cancer?,9.0,0.9759294986724854,Michael Douglas has said that his throat cancer was caused by oral sex. Michael Douglas said the cancer followed his contraction of HPV Photo: AP.,MARCO_1692594
31_7,31,7,What is the first sign of throat cancer?,1.0,0.9932709336280824,"Identification. The first signs of throat cancer vary considerably, which makes the disease difficult to detect and diagnose in early stages. The most commonly experienced early symptoms include a persistent sore throat, a lump in the neck, difficulty swallowing, ear or neck pain, and a change in voice.",MARCO_5625374
31_7,31,7,What is the first sign of throat cancer?,2.0,0.9929578304290771,"Change in voice is often the first sign of throat cancer, since the vocal cords are often the first part of the throat that cancer will develop within. This process usually happens quite slowly and gets worse with time, hence why it is so important to catch it early.",MARCO_7017761
31_7,31,7,What is the first sign of throat cancer?,3.0,0.9897390007972716,"Throat cancer typically causes throat pain that increases with swallowing, difficulty swallowing and speaking, and ear pain. Sometimes, a lump in the neck is the first sign of throat cancer. In most types of mouth and throat cancer, once symptoms make it difficult to eat, people begin to lose weight.",MARCO_7537010
31_7,31,7,What is the first sign of throat cancer?,4.0,0.9865857362747192,Common signs and symptoms of throat cancer include: 1  a change in your voice. 2  trouble swallowing. 3  weight loss. 4  sore throat.5  persistent cough (may cough up blood).6  swollen lymph nodes in the neck. 7  wheezing.8  ear pain. 9  hoarseness.t can be difficult to detect throat cancer in its early stages. Common signs and symptoms of throat cancer include: 1  a change in your voice. 2  trouble swallowing. 3  weight loss. 4  sore throat. 5  persistent cough (may cough up blood). 6  swollen lymph nodes in the neck.,MARCO_7035860
31_7,31,7,What is the first sign of throat cancer?,5.0,0.986351728439331,"HPV-Linked Throat Cancer May Have Telltale Signs. THURSDAY, March 20, 2014 (HealthDay News) -- The first symptoms of throat and mouth cancer -- also known as oropharyngeal cancer -- may differ depending on whether the condition is caused by the human papillomavirus (HPV), a small study suggests.",MARCO_7017766
31_7,31,7,What is the first sign of throat cancer?,6.0,0.985137939453125,"Signs and symptoms of throat cancer may include: 1  A cough. 2  Changes in your voice, such as hoarseness or not speaking clearly. 3  Difficulty swallowing. 4  Ear pain. 5  A lump or sore that doesn't heal. 6  A sore throat. 7  Weight loss.",MARCO_2715454
31_7,31,7,What is the first sign of throat cancer?,7.0,0.9830038547515868,"It can be difficult to detect throat cancer in its early stages. Common signs and symptoms of throat cancer include: 1  a change in your voice. 2  trouble swallowing. 3  weight loss. 4  sore throat. 5  persistent cough (may cough up blood). 6  swollen lymph nodes in the neck.hese abnormal cells form malignant growths called tumors. Throat cancer refers to cancer of the voice box, the vocal cords, and other parts of the throat, such as the tonsils and the oropharynx. Raise money to cover your cancer treatment costs.",MARCO_4976187
31_7,31,7,What is the first sign of throat cancer?,8.0,0.9829548001289368,Throat cancer warning signs: 1  Chronic never-ending cough. 2  Painful Swallowing and Difficulty Swallowing. 3  Un-provoked weight loss (no change in diet or activity exercise)  Red Blood/ Streaks in your 1  phlegm. Globus or Lump in throat sensation.  Swollen lymph glands on neck.,MARCO_7017760
31_7,31,7,What is the first sign of throat cancer?,9.0,0.9829015731811525,It can be difficult to detect throat cancer in its early stages. Common signs and symptoms of throat cancer include: a change in your voice; trouble swallowing (dysphagia) weight loss; sore throat; constant need to clear your throat; persistent cough (may cough up blood) swollen lymph nodes in the neck; wheezing; ear pain; hoarseness,MARCO_6914820
31_8,31,8,Is throat cancer the same as esophageal cancer?,1.0,0.9903144240379332,"In fact, some people diagnosed with throat cancer are diagnosed with esophageal, lung, or bladder cancer at the same time. This is typically because cancers often have the same risk factors, or because cancer that begins in one part of the body can spread throughout the body in time.",MARCO_6914822
31_8,31,8,Is throat cancer the same as esophageal cancer?,2.0,0.9897691011428832,"For this article, the terms throat cancer and larynx cancer will be interchangeable. The term laryngeal cancer is also used to refer to larynx cancer. Some investigators consider throat cancers a subset of esophageal cancers. For this article, only throat cancers will be discussed.",MARCO_5295408
31_8,31,8,Is throat cancer the same as esophageal cancer?,3.0,0.9717941880226136,"Types of throat cancer. Throat cancer is a general term that applies to cancer that develops in the throat (pharyngeal cancer) or in the voice box (laryngeal cancer). The throat and the voice box are closely connected, with the voice box located just below the throat. Though most throat cancers involve the same types of cells, specific terms are used to differentiate the part of the throat where cancer originated. 1  Nasopharyngeal cancer begins in the nasopharynx â the part of your throat just behind your nose.",MARCO_8610842
31_8,31,8,Is throat cancer the same as esophageal cancer?,4.0,0.966647207736969,"Types of throat cancer. Throat cancer is a general term that applies to cancer that develops in the throat (pharyngeal cancer) or in the voice box (laryngeal cancer). The throat and the voice box are closely connected, with the voice box located just below the throat. Hypopharyngeal cancer (laryngopharyngeal cancer) begins in the hypopharynx (laryngopharynx) â the lower part of your throat, just above your esophagus and windpipe.",MARCO_2925879
31_8,31,8,Is throat cancer the same as esophageal cancer?,5.0,0.9606900215148926,"Oropharyngeal cancer is a type of head and neck cancer. Sometimes more than one cancer can occur in the oropharynx and in other parts of the oral cavity, nose, throat, larynx (vocal cords), trachea, or esophagus at the same time.reatment of stage IV oropharyngeal cancer that has spread to other parts of the body or that has recurred (come back) may include the following: 1  Radiation therapy. 2  Surgery. 3  Chemotherapy for patients with cancer that has spread to other parts of the body or recurrent cancer that cannot be removed by surgery.",MARCO_4239407
31_8,31,8,Is throat cancer the same as esophageal cancer?,6.0,0.9587079286575316,Esophageal cancer (or oesophageal cancer) is cancer arising from the esophagusâthe food pipe that runs between the throat and the stomach. Symptoms often include difficulty in swallowing and weight loss.,MARCO_8758724
31_8,31,8,Is throat cancer the same as esophageal cancer?,7.0,0.9581263661384584,"Throat cancer, also known as laryngeal cancer, is the uncontrolled growth of abnormal cells in the larynx, leading to the formation of a tumour. Most throat cancers start in the area of the larynx where the vocal cords are located.",MARCO_2715451
31_8,31,8,Is throat cancer the same as esophageal cancer?,8.0,0.9548227787017822,Esophageal cancer (or oesophageal cancer) is cancer arising from the esophagus âthe food pipe that runs between the throat and the stomach.,MARCO_6266470
31_8,31,8,Is throat cancer the same as esophageal cancer?,9.0,0.954736053943634,Esophageal cancer (or oesophageal cancer) is cancer arising from the esophagus âthe food pipe that runs between the throat and the stomach. Symptoms often include difficulty in swallowing and weight loss.,MARCO_924434
31_9,31,9,What's the difference in throat cancer and esophageal cancer's symptoms?,1.0,0.9886839985847472,"In more advanced cancers, symptoms of esophageal cancer include: 1  Difficulty or pain when swallowing. 2  Weight loss. 3  Pain in the chest, behind the breastbone. 4  Coughing. Hoarseness.  Indigestion and heartburn.",MARCO_7374853
31_9,31,9,What's the difference in throat cancer and esophageal cancer's symptoms?,2.0,0.985514521598816,"One of the most common symptoms of esophageal cancer is difficulty swallowing, also known as dysphagia. Other common esophageal cancer symptoms may include: 1  Reflux symptoms. 2  Abdominal pain. 3  Pain or burning in the throat or chest. 4  Unexplained weight loss. 5  Heartburn or indigestion. 6  Vomiting. 7  Chronic hiccups.",MARCO_8827859
31_9,31,9,What's the difference in throat cancer and esophageal cancer's symptoms?,3.0,0.9852847456932068,"One of the most common symptoms of esophageal cancer is difficulty swallowing, also known as dysphagia. Other common esophageal cancer symptoms may include: 1  Reflux symptoms. 2  Abdominal pain. 3  Pain or burning in the throat or chest. 4  Unexplained weight loss. 5  Heartburn or indigestion. 6  Vomiting.",MARCO_8827860
31_9,31,9,What's the difference in throat cancer and esophageal cancer's symptoms?,4.0,0.9852688908576964,Symptoms of Esophageal Cancer. 1  Heartburn. 2  Difficulty swallowing. 3  Inability to swallow solid foods (eventually liquids also) 4  Pain with swallowing. 5  Food sticking in esophagus. 6  Weight loss. 7  Regurgitation of undigested food. 8  Vomiting blood or passing old blood with bowel movements.,MARCO_4922089
31_9,31,9,What's the difference in throat cancer and esophageal cancer's symptoms?,5.0,0.9851822257041932,"Signs and symptoms of esophageal cancer include: 1  Difficulty swallowing (dysphagia). 2  Weight loss without trying. 3  Chest pain, pressure or burning.",MARCO_8827857
31_9,31,9,What's the difference in throat cancer and esophageal cancer's symptoms?,6.0,0.983733892440796,"1 Common symptoms of esophageal cancer include food getting stuck in the esophagus and vomiting, pain with swallowing, chest and/or back pain, heartburn, weight loss, and a hoarse voice. 2  Diagnosis is performed by a barium swallow test, endoscopy, and biopsy (definitive test).",MARCO_643958
31_9,31,9,What's the difference in throat cancer and esophageal cancer's symptoms?,7.0,0.9836307764053344,Symptoms of esophageal cancer. 1  Heartburn. 2  Difficulty swallowing. 3  Inability to swallow solid foods (eventually liquids also)  Pain with 1  swallowing. Food sticking in esophagus.  Weight 1  loss. Regurgitation of undigested 2  food. Vomiting blood or passing old blood with bowel movements.,MARCO_7374855
31_9,31,9,What's the difference in throat cancer and esophageal cancer's symptoms?,8.0,0.9769629240036012,Esophageal cancer (or oesophageal cancer) is cancer arising from the esophagusâthe food pipe that runs between the throat and the stomach. Symptoms often include difficulty in swallowing and weight loss.,MARCO_8758724
31_9,31,9,What's the difference in throat cancer and esophageal cancer's symptoms?,9.0,0.975952923297882,Esophageal cancer (or oesophageal cancer) is cancer arising from the esophagus âthe food pipe that runs between the throat and the stomach. Symptoms often include difficulty in swallowing and weight loss.,MARCO_924434
